sentimen,tweet,remove_unrelevant_emoji,emojis,tweet_clean,tweet_proc_punct,tweet_no_punct,tweet_no_sc,tweet_lowercase,tweet_no_slang,tweet_no_sw,tweet_no_number,tweet_no_extra_spaces,tweet_lem,final_tweet,tweet_tokenization
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2Ogymxt😂","#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2Ogymxt",,"   Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   😂","   Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   😂",   Pilih pemimpin itu yg udh jelas banyak pencapaiannya  Nah  ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  Coblos 01 Yuk Kerja Pasti      ,   Pilih pemimpin itu yg udh jelas banyak pencapaiannya  Nah  ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  Coblos 01 Yuk Kerja Pasti      ,   pilih pemimpin itu yg udh jelas banyak pencapaiannya  nah  ini dia 5 pencapaian ekonomi selama pemerintahan jokowi  coblos 01 yuk kerja pasti      ,   pilih pemimpin itu yang sudah jelas banyak pencapaiannya  nah  ini dia 5 pencapaian ekonomi selama pemerintahan jokowi  coblos jokowi dan amin ayo kerja pasti      ,pilih pemimpin pencapaiannya 5 pencapaian ekonomi pemerintahan jokowi coblos jokowi amin ayo kerja,pilih pemimpin pencapaiannya  pencapaian ekonomi pemerintahan jokowi coblos jokowi amin ayo kerja,pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos jokowi amin ayo kerja,pilih pimpin capai capai ekonomi perintah jokowi coblos jokowi amin ayo kerja,pilih pimpin capai capai ekonomi perintah jokowi coblos jokowi amin ayo kerja ,"['pilih', 'pimpin', 'capai', 'capai', 'ekonomi', 'perintah', 'jokowi', 'coblos', 'jokowi', 'amin', 'ayo', 'kerja']"
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv","Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan.  ","Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan.  ",Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu  bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan   ,Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu  bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan   ,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu  bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan   ,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu  bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan   ,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan ,"['calon', 'presiden', 'jokowi', 'program', 'kartu', 'pra', 'kerja', 'insentif', 'kurun', 'bukan', 'gaji', 'cumacuma', 'masyarakat', 'belum', 'berpenghasilan']"
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",,"Gak nginti Lu to yunartowijaya, dan si AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","Gak nginti Lu to yunartowijaya, dan si AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",Gak nginti Lu to yunartowijaya  dan si AT_AbdillahToha juga gak ngacaaa   Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi ,Gak nginti Lu to yunartowijaya  dan si AT AbdillahToha juga gak ngacaaa   Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi ,gak nginti lu to yunartowijaya  dan si at abdillahtoha juga gak ngacaaa   gak usah ngajarin sandi soal ekonomi dibanding jokowi ,tidak nginti kamu to yunartowijaya  dan sih at abdillahtoha juga tidak ngacaaa   tidak perlu mengajarkan sandiaga soal ekonomi dibanding jokowi ,tidak nginti to yunartowijaya at abdillahtoha tidak ngacaaa tidak mengajarkan sandiaga ekonomi dibanding jokowi,tidak nginti to yunartowijaya at abdillahtoha tidak ngacaaa tidak mengajarkan sandiaga ekonomi dibanding jokowi,tidak nginti to yunartowijaya at abdillahtoha tidak ngacaaa tidak mengajarkan sandiaga ekonomi dibanding jokowi,tidak nginti to yunartowijaya at abdillahtoha tidak ngacaaa tidak ajar sandiaga ekonomi banding jokowi,tidak nginti to yunartowijaya at abdillahtoha tidak ngacaaa tidak ajar sandiaga ekonomi banding jokowi ,"['tidak', 'nginti', 'to', 'yunartowijaya', 'at', 'abdillahtoha', 'tidak', 'ngacaaa', 'tidak', 'ajar', 'sandiaga', 'ekonomi', 'banding', 'jokowi']"
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSo😂","Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSo",,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak.     ","Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak.     ",Menurut Jokowi  pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal  Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak      ,Menurut Jokowi  pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal  Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak      ,menurut jokowi  pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal  petani sebagai produsen senang karena hasil kerjanya dihargai secara layak      ,menurut jokowi  pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal  petani sebagai produsen senang karena hasil kerjanya dihargai secara layak      ,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak,jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak,jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak ,"['jokowi', 'perintah', 'upaya', 'jaga', 'imbang', 'harga', 'posisi', 'normal', 'tani', 'produsen', 'senang', 'hasil', 'kerja', 'harga', 'layak']"
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",Terlalu berat nge bahas ekonomi dgn angka2   Cukup bahas mobil lejen aj ,Terlalu berat nge bahas ekonomi dgn angka2   Cukup bahas mobil lejen aj ,terlalu berat nge bahas ekonomi dgn angka2   cukup bahas mobil lejen aj ,terlalu berat nge bahas ekonomi dengan angka2   cukup bahas mobil legend saja ,berat nge bahas ekonomi angka2 bahas mobil legend,berat nge bahas ekonomi angka2 bahas mobil legend,berat nge bahas ekonomi angka2 bahas mobil legend,berat nge bahas ekonomi angka2 bahas mobil legend,berat nge bahas ekonomi angka2 bahas mobil legend ,"['berat', 'nge', 'bahas', 'ekonomi', 'angka2', 'bahas', 'mobil', 'legend']"
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...👍👍👍","mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...",,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...👍👍👍","mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...👍👍👍",mantulz sekali pak  mengisi masa tenang dg umroh bersama kel tercinta  istri  anak2    pada ahirnya memang  keluarga lah asset plg berharga  sehat sll pakdeee      ,mantulz sekali pak  mengisi masa tenang dg umroh bersama kel tercinta  istri  anak2    pada ahirnya memang  keluarga lah asset plg berharga  sehat sll pakdeee      ,mantulz sekali pak  mengisi masa tenang dg umroh bersama kel tercinta  istri  anak2    pada ahirnya memang  keluarga lah asset plg berharga  sehat sll pakdeee      ,mantulz sekali pak  mengisi masa tenang dengan umrah bersama kelurahan tercinta  istri  anak anak    pada akhirnya memang  keluarga lah aset paling berharga  sehat selalu pakdeee      ,mantulz mengisi tenang umrah kelurahan tercinta istri anak anak keluarga aset berharga sehat pakdeee,mantulz mengisi tenang umrah kelurahan tercinta istri anak anak keluarga aset berharga sehat pakdeee,mantulz mengisi tenang umrah kelurahan tercinta istri anak anak keluarga aset berharga sehat pakdeee,mantulz isi tenang umrah lurah cinta istri anak anak keluarga aset harga sehat pakdeee,mantulz isi tenang umrah lurah cinta istri anak anak keluarga aset harga sehat pakdeee ,"['mantulz', 'isi', 'tenang', 'umrah', 'lurah', 'cinta', 'istri', 'anak', 'anak', 'keluarga', 'aset', 'harga', 'sehat', 'pakdeee']"
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,,    Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  ,    Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  ,    Pentingnya sisi industri kreatif dan inovatif di era industri global  Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif  Bekraf  menjadi sebuah kementerian   Coblos 01 Yuk Kerja Pasti    ,    Pentingnya sisi industri kreatif dan inovatif di era industri global  Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif  Bekraf  menjadi sebuah kementerian   Coblos 01 Yuk Kerja Pasti    ,    pentingnya sisi industri kreatif dan inovatif di era industri global  membuat jokowi tergerak untuk mengubah badan ekonomi kreatif  bekraf  menjadi sebuah kementerian   coblos 01 yuk kerja pasti    ,    pentingnya sisi industri kreatif dan inovatif di era industri global  membuat jokowi tergerak untuk mengubah badan ekonomi kreatif  bekraf  menjadi sebuah kementerian   coblos jokowi dan amin ayo kerja pasti    ,sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos jokowi amin ayo kerja,sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos jokowi amin ayo kerja,sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos jokowi amin ayo kerja,sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos jokowi amin ayo kerja,sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos jokowi amin ayo kerja ,"['sisi', 'industri', 'kreatif', 'inovatif', 'era', 'industri', 'global', 'jokowi', 'gerak', 'ubah', 'badan', 'ekonomi', 'kreatif', 'bekraf', 'menteri', 'coblos', 'jokowi', 'amin', 'ayo', 'kerja']"
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS","dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam  ","dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam  ",dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati  tidak ada itu khilafah  khilafah hanyalah bualan para makhluk di kolam  ,dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati  tidak ada itu khilafah  khilafah hanyalah bualan para makhluk di kolam  ,dalam 16 pakta integritas antara prabowo sandi dan ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati  tidak ada itu khilafah  khilafah hanyalah bualan para makhluk di kolam  ,dalam 16 pakta integritas antara prabowo sandiaga dan ulama yang terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan negara kesatuan republik indonesia itu adalah harga mati  tidak ada itu khilafah  khilafah hanyalah bualan para makhluk di kolam  ,16 pakta integritas prabowo sandiaga ulama terlibat ijtimak ulama pancasila negara kesatuan republik indonesia harga mati tidak khilafah khilafah bualan makhluk kolam, pakta integritas prabowo sandiaga ulama terlibat ijtimak ulama pancasila negara kesatuan republik indonesia harga mati tidak khilafah khilafah bualan makhluk kolam,pakta integritas prabowo sandiaga ulama terlibat ijtimak ulama pancasila negara kesatuan republik indonesia harga mati tidak khilafah khilafah bualan makhluk kolam,pakta integritas prabowo sandiaga ulama libat ijtimak ulama pancasila negara satu republik indonesia harga mati tidak khilafah khilafah bual makhluk kolam,pakta integritas prabowo sandiaga ulama libat ijtimak ulama pancasila negara satu republik indonesia harga mati tidak khilafah khilafah bual makhluk kolam ,"['pakta', 'integritas', 'prabowo', 'sandiaga', 'ulama', 'libat', 'ijtimak', 'ulama', 'pancasila', 'negara', 'satu', 'republik', 'indonesia', 'harga', 'mati', 'tidak', 'khilafah', 'khilafah', 'bual', 'makhluk', 'kolam']"
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu 😭","Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ",,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu 😭","Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu 😭",Saya dengar pak  Mbak Vidya  dari Curup  Dulu beli lipstik Purbasari harga 25 ribu  Tapi sekarang beli lipstik NYX gak cukup 25 ribu  ,Saya dengar pak  Mbak Vidya  dari Curup  Dulu beli lipstik Purbasari harga 25 ribu  Tapi sekarang beli lipstik NYX gak cukup 25 ribu  ,saya dengar pak  mbak vidya  dari curup  dulu beli lipstik purbasari harga 25 ribu  tapi sekarang beli lipstik nyx gak cukup 25 ribu  ,saya dengar pak  mbak vidya  dari curup  dulu beli lipstik purbasari harga 25 ribu  tapi sekarang beli lipstik nyx tidak cukup 25 ribu  ,dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx tidak 25 ribu,dengar mbak vidya curup beli lipstik purbasari harga  ribu beli lipstik nyx tidak  ribu,dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx tidak ribu,dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx tidak ribu,dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx tidak ribu ,"['dengar', 'mbak', 'vidya', 'curup', 'beli', 'lipstik', 'purbasari', 'harga', 'ribu', 'beli', 'lipstik', 'nyx', 'tidak', 'ribu']"
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  ,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  ,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun  Sandi sejak jadi Wagub jg demikian   Susah ya cari orang seperti mereka   Yang gak ambil gaji dari hasil mereka kerja untuk negara    ,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun  Sandi sejak jadi Wagub jg demikian   Susah ya cari orang seperti mereka   Yang gak ambil gaji dari hasil mereka kerja untuk negara    ,prabowo sejak jadi tni puluhan tahun nggak dia ambil gajinya serupiah pun  sandi sejak jadi wagub jg demikian   susah ya cari orang seperti mereka   yang gak ambil gaji dari hasil mereka kerja untuk negara    ,prabowo sejak jadi tentara nasional indonesia puluhan tahun tidak dia ambil gajinya serupiah pun  sandiaga sejak jadi wakil gubernur juga demikian   susah iya cari orang seperti mereka   yang tidak ambil gaji dari hasil mereka kerja untuk negara    ,prabowo tentara nasional indonesia puluhan tidak ambil gajinya serupiah sandiaga wakil gubernur susah cari orang tidak ambil gaji hasil kerja negara,prabowo tentara nasional indonesia puluhan tidak ambil gajinya serupiah sandiaga wakil gubernur susah cari orang tidak ambil gaji hasil kerja negara,prabowo tentara nasional indonesia puluhan tidak ambil gajinya serupiah sandiaga wakil gubernur susah cari orang tidak ambil gaji hasil kerja negara,prabowo tentara nasional indonesia puluh tidak ambil gaji rupiah sandiaga wakil gubernur susah cari orang tidak ambil gaji hasil kerja negara,prabowo tentara nasional indonesia puluh tidak ambil gaji rupiah sandiaga wakil gubernur susah cari orang tidak ambil gaji hasil kerja negara ,"['prabowo', 'tentara', 'nasional', 'indonesia', 'puluh', 'tidak', 'ambil', 'gaji', 'rupiah', 'sandiaga', 'wakil', 'gubernur', 'susah', 'cari', 'orang', 'tidak', 'ambil', 'gaji', 'hasil', 'kerja', 'negara']"
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173👍,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173,,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo & sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb 👍,Assalamualaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo & sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb 👍,Assalamualaikum   Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo   sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah  Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa  Semoga Allah SWT mengabulkan itu  Aamiin ya Rabb  ,Assalamualaikum   Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo   sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah  Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa  Semoga Allah SWT mengabulkan itu  Aamiin ya Rabb  ,assalamualaikum   saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 prabowo   sandiuno saya hrs merelakan suara dikarenakan berada di jkt namun ktp daerah  semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa  semoga allah swt mengabulkan itu  aamiin ya rabb  ,assalamualaikum   saya tahu 1 suara itu sangat berharga dalam upaya memenangkan prabowo dan sandiaga prabowo   sandiaga saya harus merelakan suara dikarenakan berada di jakarta namun kartu tanda penduduk daerah  semoga suara saya yang tidak disertakan bisa terbalaskan dengan doa  semoga allah subhanahu wa taala mengabulkan itu  amin iya rabi  ,assalamualaikum 1 suara berharga upaya memenangkan prabowo sandiaga prabowo sandiaga merelakan suara jakarta kartu tanda penduduk daerah semoga suara tidak disertakan bisa terbalaskan doa semoga allah subhanahu wa taala mengabulkan amin rabi,assalamualaikum 1 suara berharga upaya memenangkan prabowo sandiaga prabowo sandiaga merelakan suara jakarta kartu tanda penduduk daerah semoga suara tidak disertakan bisa terbalaskan doa semoga allah subhanahu wa taala mengabulkan amin rabi,assalamualaikum 1 suara berharga upaya memenangkan prabowo sandiaga prabowo sandiaga merelakan suara jakarta kartu tanda penduduk daerah semoga suara tidak disertakan bisa terbalaskan doa semoga allah subhanahu wa taala mengabulkan amin rabi,assalamualaikum 1 suara harga upaya menang prabowo sandiaga prabowo sandiaga rela suara jakarta kartu tanda duduk daerah moga suara tidak serta bisa balas doa moga allah subhanahu wa taala kabul amin rabi,assalamualaikum 1 suara harga upaya menang prabowo sandiaga prabowo sandiaga rela suara jakarta kartu tanda duduk daerah moga suara tidak serta bisa balas doa moga allah subhanahu wa taala kabul amin rabi ,"['assalamualaikum', '1', 'suara', 'harga', 'upaya', 'menang', 'prabowo', 'sandiaga', 'prabowo', 'sandiaga', 'rela', 'suara', 'jakarta', 'kartu', 'tanda', 'duduk', 'daerah', 'moga', 'suara', 'tidak', 'serta', 'bisa', 'balas', 'doa', 'moga', 'allah', 'subhanahu', 'wa', 'taala', 'kabul', 'amin', 'rabi']"
